,Visibility (km),Rel Hum (%),Hour,Stn Press (kPa),Month,Temp (°C),Dew Point Temp (°C),Wind Dir (10s deg),Wind Spd (km/h),Temp_Diff,Humidity_Index
0,0.016597510373443983,1.0,0,0.43115942028985543,1,0.5309200603318249,0.6672354948805461,0.7777777777777777,0.21153846153846156,-0.1363154345487212,0.5309200603318249
1,0.016597510373443983,1.0,1,0.44021739130434767,1,0.5309200603318249,0.6672354948805461,0.7222222222222222,0.19230769230769232,-0.1363154345487212,0.5309200603318249
2,0.26556016597510373,1.0,2,0.45108695652173836,1,0.5309200603318249,0.6672354948805461,0.8333333333333333,0.40384615384615385,-0.1363154345487212,0.5309200603318249
3,0.33609958506224064,1.0,3,0.4601449275362306,1,0.5248868778280542,0.6604095563139932,0.7777777777777777,0.46153846153846156,-0.13552267848593902,0.5248868778280542
4,0.46887966804979253,1.0,4,0.47101449275362484,1,0.5218702865761689,0.6569965870307168,0.7777777777777777,0.44230769230769235,-0.135126300454548,0.5218702865761689
5,0.46887966804979253,1.0,5,0.4818840579710155,1,0.5173453996983408,0.6518771331058021,0.7777777777777777,0.46153846153846156,-0.13453173340746127,0.5173453996983408
6,0.46887966804979253,1.0,6,0.5,1,0.5158371040723981,0.6501706484641638,0.7777777777777777,0.34615384615384615,-0.1343335443917657,0.5158371040723981
7,0.46887966804979253,0.9876543209876543,7,0.5199275362318829,1,0.5158371040723981,0.6484641638225257,0.7777777777777777,0.38461538461538464,-0.13262705975012756,0.5094687447628623
8,0.33609958506224064,0.9876543209876543,8,0.538043478260871,1,0.5143288084464555,0.6450511945392492,0.7777777777777777,0.40384615384615385,-0.13072238609279374,0.5079790700705733
9,0.6680497925311204,0.9753086419753088,9,0.5525362318840585,1,0.5098039215686274,0.636518771331058,0.7222222222222222,0.34615384615384615,-0.12671484976243064,0.4972161704187848
10,0.5352697095435685,0.962962962962963,10,0.5634057971014492,1,0.5128205128205128,0.6399317406143346,0.8055555555555555,0.3269230769230769,-0.12711122779382178,0.49382716049382713
11,1.0,0.9506172839506173,11,0.5652173913043477,1,0.5158371040723981,0.6399317406143346,0.8333333333333333,0.2884615384615385,-0.12409463654193642,0.49036366683425503
12,1.0,0.9012345679012346,12,0.5597826086956523,1,0.5218702865761689,0.636518771331058,0.8055555555555555,0.38461538461538464,-0.1146484847548892,0.47032754222296697
13,1.0,0.8641975308641976,13,0.5615942028985508,1,0.5233785822021115,0.6296928327645052,0.7222222222222222,0.3269230769230769,-0.10631425056239363,0.45230247844626925
14,1.0,0.8641975308641976,14,0.5652173913043477,1,0.5203619909502262,0.6279863481228669,0.7222222222222222,0.2692307692307693,-0.10762435717264074,0.4496955477347634
15,1.0,0.8641975308641976,15,0.5688405797101481,1,0.5113122171945701,0.6160409556313994,0.8055555555555555,0.23076923076923078,-0.10472873843682928,0.4418747556002458
16,1.0,0.7777777777777779,16,0.5833333333333357,1,0.5143288084464555,0.6023890784982936,0.7777777777777777,0.23076923076923078,-0.08806027005183814,0.40003351768057654
17,1.0,0.8395061728395061,17,0.5942028985507264,1,0.5037707390648567,0.6040955631399318,0.75,0.15384615384615385,-0.10032482407507515,0.42291864514086736
18,1.0,0.8395061728395061,18,0.5942028985507264,1,0.502262443438914,0.6023890784982936,0.8055555555555555,0.15384615384615385,-0.10012663505937958,0.4216524216524216
19,1.0,0.8765432098765433,19,0.6068840579710155,1,0.49622926093514325,0.6023890784982936,0.611111111111111,0.09615384615384616,-0.10615981756315035,0.4349663892147552
20,1.0,0.9012345679012346,20,0.6159420289855078,1,0.49321266968325783,0.60580204778157,0.611111111111111,0.13461538461538464,-0.11258937809831215,0.44450030724540524
21,1.0,0.9012345679012346,21,0.6159420289855078,1,0.49472096530920057,0.6075085324232082,0.5833333333333333,0.13461538461538464,-0.11278756711400767,0.44585963540211904
22,1.0,0.9135802469135803,22,0.6141304347826093,1,0.49472096530920057,0.6109215017064847,0.5833333333333333,0.09615384615384616,-0.11620053639728417,0.45196730164050425
23,1.0,0.9382716049382716,23,0.6105072463768124,1,0.4901960784313725,0.6092150170648465,0.4722222222222222,0.11538461538461539,-0.11901893863347401,0.4599370612442507
24,1.0,0.9506172839506173,0,0.6068840579710155,1,0.4886877828054298,0.6092150170648465,0.5277777777777778,0.15384615384615385,-0.1205272342594167,0.46455505279034687
25,1.0,0.9259259259259258,1,0.6105072463768124,1,0.4901960784313725,0.60580204778157,0.5555555555555556,0.13461538461538464,-0.11560596935019751,0.4538852578068263
26,1.0,0.9259259259259258,2,0.6177536231884062,1,0.49170437405731515,0.6092150170648465,0.5,0.09615384615384616,-0.11751064300753133,0.4552818278308473
27,1.0,0.9382716049382716,3,0.6250000000000036,1,0.49472096530920057,0.6126279863481229,0.5277777777777778,0.15384615384615385,-0.11790702103892231,0.46418263411727456
28,1.0,0.9382716049382716,4,0.6195652173913047,1,0.49321266968325783,0.6143344709897611,0.5,0.09615384615384616,-0.1211218013065033,0.4627674431595999
29,0.26556016597510373,0.9753086419753088,5,0.6177536231884062,1,0.49170437405731515,0.6194539249146759,0.5277777777777778,0.13461538461538464,-0.12774955085736073,0.4795635253151593
30,0.26556016597510373,0.9876543209876543,6,0.6231884057971016,1,0.49622926093514325,0.6262798634812288,0.5833333333333333,0.17307692307692307,-0.13005060254608553,0.4901029737631044
